t,motion_energy,omega_w,max_abs_z
0,2.167635e-10,-1.052036e-03,3.444598e-03
1,2.012320e-10,-1.089074e-03,3.281518e-03
2,1.868957e-10,-1.126205e-03,3.126097e-03
3,1.736590e-10,-1.163248e-03,2.994481e-03
4,1.614340e-10,-1.199969e-03,2.887285e-03
5,1.501404e-10,-1.236056e-03,2.785371e-03
6,1.397040e-10,-1.271108e-03,2.688479e-03
7,1.300572e-10,-1.304545e-03,2.596361e-03
8,1.211374e-10,-1.335380e-03,2.508783e-03
9,1.128875e-10,-1.361438e-03,2.425520e-03
10,1.052549e-10,-1.382771e-03,2.346360e-03
11,9.819123e-11,-1.423937e-03,2.271099e-03
12,9.165206e-11,-1.448525e-03,2.199544e-03
13,8.559657e-11,-1.472450e-03,2.131513e-03
14,7.998723e-11,-1.494979e-03,2.066829e-03
15,7.478954e-11,-1.515619e-03,2.005327e-03
16,6.997174e-11,-1.534034e-03,1.946849e-03
17,6.550463e-11,-1.549918e-03,1.891243e-03
18,6.136136e-11,-1.562936e-03,1.838366e-03
19,5.751719e-11,-1.572833e-03,1.788083e-03
20,5.394936e-11,-1.579988e-03,1.740263e-03
21,5.063692e-11,-1.586114e-03,1.730265e-03
22,4.756058e-11,-1.586312e-03,1.724508e-03
23,4.470257e-11,-1.583128e-03,1.718557e-03
24,4.204650e-11,-1.575531e-03,1.712420e-03
25,3.957730e-11,-1.565640e-03,1.706105e-03
26,3.728105e-11,-1.559328e-03,1.699622e-03
27,3.514494e-11,-1.551613e-03,1.692982e-03
28,3.315715e-11,-1.536725e-03,1.686194e-03
29,3.130677e-11,-1.516221e-03,1.679270e-03
30,2.958374e-11,-1.491174e-03,1.672220e-03
31,2.797878e-11,-1.462447e-03,1.665057e-03
32,2.648333e-11,-1.430418e-03,1.657791e-03
33,2.508947e-11,-1.394370e-03,1.650434e-03
34,2.378991e-11,-1.354789e-03,1.642996e-03
35,2.257789e-11,-1.315003e-03,1.635489e-03
36,2.144718e-11,-1.275104e-03,1.627922e-03
37,2.039202e-11,-1.234537e-03,1.620305e-03
38,1.940709e-11,-1.193407e-03,1.612649e-03
39,1.848746e-11,-1.151994e-03,1.604963e-03
40,1.762858e-11,-1.110435e-03,1.597256e-03
41,1.682623e-11,-1.068489e-03,1.589536e-03
42,1.607653e-11,-1.025719e-03,1.581813e-03
43,1.537585e-11,-9.823473e-04,1.574093e-03
